id,name
10194.0,Toy Story Collection
119050.0,Grumpy Old Men Collection
96871.0,Father of the Bride Collection
645.0,James Bond Collection
117693.0,Balto Collection
3167.0,Ace Ventura Collection
91698.0,Chili Palmer Collection
9435.0,Babe Collection
9818.0,Mortal Kombat Collection
136214.0,Pocahontas Collection
124935.0,The Lawnmower Man Collection
43563.0,Friday Collection
10924.0,From Dusk Till Dawn Collection
122017.0,Screamers Collection
256377.0,The Muppet Collection
91430.0,The Neverending Story Collection
14890.0,Bad Boys Collection
120794.0,Batman Collection
439053.0,Brooklyn Cigar Store Collection
8819.0,Casper Collection
9649.0,Mexico Trilogy
1570.0,Die Hard Collection
259398.0,Teenage Apocalypse Trilogy
9328.0,Free Willy Collection
286162.0,Power Rangers Collection
328073.0,Síť (kolekce)
9068.0,The Prophecy Collection
247294.0,Showgirls Collection
439053.0,Brooklyn Cigar Store Collection
9887.0,Species Collection
112399.0,Under Siege Collection
23170.0,Burnt by the Sun Trilogy
123800.0,Before... Collection
182813.0,Clerks Collection
96665.0,Dumb and Dumber Collection
410261.0,A Goofy Movie Collection
217704.0,The Vampire Chronicles
10.0,Star Wars Collection
286948.0,Nemesis Collection
300546.0,Once were Warriors Collection
48188.0,Poison Ivy Collection
131.0,Three Colors Collection
131.0,Three Colors Collection
131.0,Three Colors Collection
144200.0,Swan Princess Series
53159.0,The Santa Clause Collection
115142.0,Tales from the Crypt Collection
115570.0,Star Trek: The Next Generation Collection
3167.0,Ace Ventura Collection
192492.0,The Jack Ryan Collection
9436.0,The Crow Collection
351684.0,The Flintstones (Live-Action) Collection
94032.0,The Lion King Collection
8581.0,A Nightmare on Elm Street Collection
43072.0,The Mask Collection
37139.0,Naked Gun Collection
167985.0,Richie Rich Collection
43064.0,Speed Collection
170452.0,Timecop Collection
261203.0,Street Fighter
439409.0,Fear Collection
8050.0,Highlander Collection
11716.0,Addams Family Collection
162028.0,Stakeout Collection
85861.0,Beverly Hills Cop Collection
150156.0,City Slickers Collection
252313.0,The Endless Summer Collection
9328.0,Free Willy Collection
134011.0,The Fugitive / U.S. Marshals Collection
412680.0,Hard Target Collection
52988.0,Hot Shots! Collection
159600.0,House Party Collection
328.0,Jurassic Park Collection
8580.0,The Karate Kid Collection
5547.0,RoboCop Collection
462565.0,The Secret Garden Collection
105075.0,The Shadow Collection
422837.0,Blade Runner Collection
224478.0,The Brady Bunch Collection
9888.0,Home Alone Collection
86027.0,Aladdin Collection
528.0,The Terminator Collection
120794.0,Batman Collection
9743.0,The Hannibal Lecter Anthology
153010.0,Beauty and the Beast Collection
98580.0,Candyman Collection
43058.0,Homeward Bound Collection
141086.0,Heavy Metal Collection
8917.0,Hellraiser Collection
140910.0,All Dogs Go to Heaven Collection
87359.0,Mission: Impossible Collection
169452.0,DragonHeart Collection
36694.0,Bloodsport Collection
158391.0,The Apu Collection
158391.0,The Apu Collection
144146.0,Lemmy Caution Collection
143766.0,The Substitute Collection
52888.0,The Visitors Collection
23026.0,Ghost in the Shell Collection
529.0,Wallace & Gromit Collection
116661.0,The Arrival Collection
